,country,date,code,iso2Code,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,Actual FDI Inflow (% of GDP),Predicted FDI Inflow (% of GDP),Difference,Percent Difference (%),Over- or Under- Investment
18,Antigua and Barbuda,2017.0,ATG,AG,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175,7.6933598684313615,4.550689,-3.1426706480028948,-40.84913096160248,Over-Invested
19,Antigua and Barbuda,2018.0,ATG,AG,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175,7.23305469639282,4.195227,-3.0378275502441383,-41.99923376438901,Over-Invested
20,Argentina,2015.0,ARG,AR,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118,1.97713461784426,-0.19669372,-2.17382833627764,-109.94842317048914,Over-Invested
21,Argentina,2016.0,ARG,AR,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118,0.5847499317239089,-0.47663885,-1.0613887852738662,-181.5115706204141,Over-Invested
22,Argentina,2017.0,ARG,AR,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118,1.79196134499023,-0.38426787,-2.1762292116017106,-121.44398190763293,Over-Invested
23,Argentina,2018.0,ARG,AR,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118,2.2838059425056603,-0.31111652,-2.5949224590957787,-113.62272121285311,Over-Invested
24,Armenia,2015.0,ARM,AM,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.50899999999999,40.1596,1.74473699241328,1.191488,-0.5532489648406482,-31.70959102984382,Over-Invested
25,Armenia,2016.0,ARM,AM,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.50899999999999,40.1596,3.16450822069324,1.2285719,-1.9359363289085718,-61.17653025039296,Over-Invested
26,Armenia,2017.0,ARM,AM,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.50899999999999,40.1596,2.17684677683483,1.1603241,-1.0165226801551426,-46.6970248421978,Over-Invested
27,Armenia,2018.0,ARM,AM,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.50899999999999,40.1596,2.04411103926791,0.9968527,-1.0472583433259848,-51.232947878460465,Over-Invested
28,Aruba,2015.0,ABW,AW,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,-1.06909055624741,1.7715921,2.840682696445164,65.71020385926694,Under-Invested
29,Aruba,2016.0,ABW,AW,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,0.7926992823976371,2.207773,1.4150736878019479,178.51330501042546,Under-Invested
30,Aruba,2017.0,ABW,AW,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,6.01572196938504,2.361215,-3.654506854791534,-60.74926456691146,Over-Invested
31,Australia,2015.0,AUS,AU,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282,3.3329598807987404,0.40594715,-2.927012731998844,-87.82022096519772,Over-Invested
32,Australia,2016.0,AUS,AU,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282,3.2448865960586604,0.42024928,-2.824637312744909,-87.04887610481677,Over-Invested
33,Australia,2017.0,AUS,AU,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282,3.26243627520885,0.33817095,-2.9242653295644714,-89.63440456403305,Over-Invested
34,Australia,2018.0,AUS,AU,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282,4.25070655159904,0.32428986,-3.9264166932578233,-92.37091870716823,Over-Invested
35,Austria,2015.0,AUT,AT,Europe & Central Asia,,High income,Not classified,Vienna,16.3798,48.2201,-2.08810505988192,3.2440495,5.332154608984704,55.35854068981714,Under-Invested
36,Austria,2016.0,AUT,AT,Europe & Central Asia,,High income,Not classified,Vienna,16.3798,48.2201,-7.305310050246707,2.7018485,10.007158557174197,-63.015279456396975,Under-Invested
37,Austria,2017.0,AUT,AT,Europe & Central Asia,,High income,Not classified,Vienna,16.3798,48.2201,3.7403902803254,3.2363365,-0.5040538106751313,-13.47596835887619,Over-Invested
38,Austria,2018.0,AUT,AT,Europe & Central Asia,,High income,Not classified,Vienna,16.3798,48.2201,2.47010816026298,2.213297,-0.2568112700041909,-10.396762139227523,Over-Invested
39,Azerbaijan,2015.0,AZE,AZ,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Baku,49.8932,40.3834,7.626322309079981,1.3477923,-6.278530041280604,-82.32710062365602,Over-Invested
40,Azerbaijan,2016.0,AZE,AZ,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Baku,49.8932,40.3834,11.8826533237788,1.1992667,-10.683386651644401,-89.90741680787318,Over-Invested
41,Azerbaijan,2017.0,AZE,AZ,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Baku,49.8932,40.3834,7.01687943666137,1.412226,-5.604653474976189,-79.87387449887386,Over-Invested
42,Azerbaijan,2018.0,AZE,AZ,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Baku,49.8932,40.3834,2.9889477325018903,0.94876856,-2.040179176383879,-68.25743903778982,Over-Invested
43,"Bahamas, The",2015.0,BHS,BS,Latin America & Caribbean ,,High income,Not classified,Nassau,-77.339,25.0661,0.647327967716957,1.446782,0.7994540251953355,123.50061561759915,Under-Invested
44,"Bahamas, The",2016.0,BHS,BS,Latin America & Caribbean ,,High income,Not classified,Nassau,-77.339,25.0661,0.6175330731923879,1.434818,0.8172849562112986,132.3467505936608,Under-Invested
45,"Bahamas, The",2017.0,BHS,BS,Latin America & Caribbean ,,High income,Not classified,Nassau,-77.339,25.0661,4.89691502982618,1.5026104,-3.3943045848035966,-69.31516197707192,Over-Invested
46,"Bahamas, The",2018.0,BHS,BS,Latin America & Caribbean ,,High income,Not classified,Nassau,-77.339,25.0661,7.58823292687835,1.3955197,-6.192713193449395,-81.60942413238435,Over-Invested
47,Bahrain,2015.0,BHR,BH,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921,0.208487669748695,4.7278447,4.519357045369714,2167.6855282699526,Under-Invested
48,Bahrain,2016.0,BHR,BH,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921,0.754573830719813,1.7108626,0.9562888058463491,126.73230463533484,Under-Invested
49,Bahrain,2017.0,BHR,BH,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921,1.46441897244475,3.5114765,2.047057544278883,139.78633046944594,Under-Invested
50,Bahrain,2018.0,BHR,BH,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921,4.0140721518372295,3.0818734,-0.9321987349365948,-23.22326803492882,Over-Invested
51,Bangladesh,2015.0,BGD,BD,South Asia,South Asia,Lower middle income,IDA,Dhaka,90.4113,23.7055,1.45128764663678,1.2348614,-0.2164262727354127,-14.912706880469894,Over-Invested
52,Bangladesh,2016.0,BGD,BD,South Asia,South Asia,Lower middle income,IDA,Dhaka,90.4113,23.7055,1.0535522887012,1.276073,0.22252069027218857,21.120991588040482,Under-Invested
53,Bangladesh,2017.0,BGD,BD,South Asia,South Asia,Lower middle income,IDA,Dhaka,90.4113,23.7055,0.724959075009937,1.1453744,0.4204153422950557,57.99159660002782,Under-Invested
54,Bangladesh,2018.0,BGD,BD,South Asia,South Asia,Lower middle income,IDA,Dhaka,90.4113,23.7055,1.07297613722048,1.1105187,0.037542556703470176,3.498918140036489,Under-Invested
55,Barbados,2015.0,BRB,BB,Latin America & Caribbean ,,High income,Not classified,Bridgetown,-59.6105,13.0935,1.4705145650661298,3.1577995,1.6872849172794513,114.74112241816341,Under-Invested
56,Barbados,2016.0,BRB,BB,Latin America & Caribbean ,,High income,Not classified,Bridgetown,-59.6105,13.0935,4.744180395543849,3.3801763,-1.3640040897729753,-28.751100844608857,Over-Invested
57,Barbados,2017.0,BRB,BB,Latin America & Caribbean ,,High income,Not classified,Bridgetown,-59.6105,13.0935,5.735191156300732,3.177009,-2.558182050618359,-44.605000616377325,Over-Invested
58,Barbados,2018.0,BRB,BB,Latin America & Caribbean ,,High income,Not classified,Bridgetown,-59.6105,13.0935,3.79195335276968,2.1688251,-1.6231282032335472,-42.80454035775515,Over-Invested
59,Belarus,2015.0,BLR,BY,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Minsk,27.5766,53.9678,2.92676959277302,0.7577271,-2.1690425062289833,-74.11046334446453,Over-Invested
60,Belarus,2016.0,BLR,BY,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Minsk,27.5766,53.9678,2.6128050216432004,0.9380426,-1.67476244056181,-64.09825557930637,Over-Invested
61,Belarus,2017.0,BLR,BY,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Minsk,27.5766,53.9678,2.33213850448518,0.84275347,-1.4893850345411797,-63.86348974028717,Over-Invested
62,Belarus,2018.0,BLR,BY,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Minsk,27.5766,53.9678,2.47207227542048,0.7585617,-1.7135106046402981,-69.31474543351867,Over-Invested
63,Belgium,2015.0,BEL,BE,Europe & Central Asia,,High income,Not classified,Brussels,4.36761,50.8371,-5.25070598929896,2.5952702,7.845976146159312,-50.57292938988467,Under-Invested
64,Belgium,2016.0,BEL,BE,Europe & Central Asia,,High income,Not classified,Brussels,4.36761,50.8371,9.33836588841518,2.984555,-6.3538108823879575,-68.03985791850641,Over-Invested
65,Belgium,2017.0,BEL,BE,Europe & Central Asia,,High income,Not classified,Brussels,4.36761,50.8371,-7.84928953806146,2.759105,10.608394505178769,-64.84898469169318,Under-Invested
66,Belgium,2018.0,BEL,BE,Europe & Central Asia,,High income,Not classified,Brussels,4.36761,50.8371,-11.800881931393599,2.2388105,14.039692470639205,-81.02844726130381,Under-Invested
67,Belize,2015.0,BLZ,BZ,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Belmopan,-88.7713,17.2534,3.4296163192766405,3.5734308,0.14381445731942888,4.193310386094784,Under-Invested
68,Belize,2016.0,BLZ,BZ,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Belmopan,-88.7713,17.2534,1.84403175582894,3.251707,1.407675321197427,76.33682645365512,Under-Invested
69,Belize,2017.0,BLZ,BZ,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Belmopan,-88.7713,17.2534,1.39590584271695,4.083255,2.6873489714309993,192.51649281733953,Under-Invested
70,Belize,2018.0,BLZ,BZ,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Belmopan,-88.7713,17.2534,6.3884910654961296,3.9383492,-2.45014181851737,-38.352433984770585,Over-Invested
71,Benin,2015.0,BEN,BJ,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Porto-Novo,2.6323,6.4779,1.8047567460995504,1.5874407,-0.21731601695831504,-12.04129129468442,Over-Invested
72,Benin,2016.0,BEN,BJ,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Porto-Novo,2.6323,6.4779,1.53516300335693,1.8969569,0.3617939172668494,23.56713368389658,Under-Invested
73,Benin,2017.0,BEN,BJ,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Porto-Novo,2.6323,6.4779,2.16197669775938,1.9090893,-0.25288737090085966,-11.697044244877663,Over-Invested
74,Benin,2018.0,BEN,BJ,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Porto-Novo,2.6323,6.4779,2.00410808400184,2.0789607,0.07485257311791083,3.7349568975563407,Under-Invested
75,Bhutan,2015.0,BTN,BT,South Asia,South Asia,Lower middle income,IDA,Thimphu,89.6177,27.5768,0.313181997398994,0.9480373,0.634855328936913,202.71130978454903,Under-Invested
76,Bhutan,2016.0,BTN,BT,South Asia,South Asia,Lower middle income,IDA,Thimphu,89.6177,27.5768,0.535400820732385,1.165433,0.6300322284695803,117.67487162379524,Under-Invested
77,Bhutan,2017.0,BTN,BT,South Asia,South Asia,Lower middle income,IDA,Thimphu,89.6177,27.5768,-0.6548144045833421,1.1231902,1.778004569149382,71.52801720675726,Under-Invested
78,Bhutan,2018.0,BTN,BT,South Asia,South Asia,Lower middle income,IDA,Thimphu,89.6177,27.5768,0.104526590777132,1.7457252,1.641198564099577,1570.1254120101212,Under-Invested
79,Bolivia,2015.0,BOL,BO,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,La Paz,-66.1936,-13.9908,1.68072787887629,1.7066109,0.025883039168753896,1.5399898754615116,Under-Invested
80,Bolivia,2016.0,BOL,BO,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,La Paz,-66.1936,-13.9908,0.988080149462259,1.5749619,0.5868817512488006,59.39616857683034,Under-Invested
81,Bolivia,2017.0,BOL,BO,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,La Paz,-66.1936,-13.9908,1.8994932764613897,1.5300832,-0.3694100969875127,-19.447823351904425,Over-Invested
82,Bolivia,2018.0,BOL,BO,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,La Paz,-66.1936,-13.9908,0.633154081181345,1.4844062,0.8512521516525173,134.44628676549678,Under-Invested
83,Bosnia and Herzegovina,2015.0,BIH,BA,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sarajevo,18.4214,43.8607,2.36306729351746,1.6101263,-0.7529410365747111,-31.86286901944072,Over-Invested
84,Bosnia and Herzegovina,2016.0,BIH,BA,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sarajevo,18.4214,43.8607,1.67178395836302,1.5940886,-0.07769540398069585,-4.647454809697649,Over-Invested
85,Bosnia and Herzegovina,2017.0,BIH,BA,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sarajevo,18.4214,43.8607,2.5593436404497503,1.6759176,-0.8834260150225042,-34.51767871497166,Over-Invested
86,Bosnia and Herzegovina,2018.0,BIH,BA,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sarajevo,18.4214,43.8607,2.4079949378844603,1.5454733,-0.8625216007109984,-35.81907865091964,Over-Invested
87,Botswana,2015.0,BWA,BW,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Gaborone,25.9201,-24.6544,2.62508959773089,1.0671674,-1.5579221964171084,-59.34739133337643,Over-Invested
88,Botswana,2016.0,BWA,BW,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Gaborone,25.9201,-24.6544,0.780776307678818,1.2103846,0.42960829963624547,55.02322437439664,Under-Invested
89,Botswana,2017.0,BWA,BW,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Gaborone,25.9201,-24.6544,1.01757400382743,1.4135065,0.39593250404610525,38.90945548499403,Under-Invested
90,Botswana,2018.0,BWA,BW,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Gaborone,25.9201,-24.6544,1.22861011271201,1.1239984,-0.10461170916281559,-8.514638458566626,Over-Invested
91,Brazil,2015.0,BRA,BR,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Brasilia,-47.9292,-15.7801,3.34777324755873,0.917281,-2.4304922755547933,-72.60026578344761,Over-Invested
92,Brazil,2016.0,BRA,BR,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Brasilia,-47.9292,-15.7801,4.08500319645776,0.8710908,-3.2139123670853538,-78.67588377586198,Over-Invested
93,Brazil,2017.0,BRA,BR,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Brasilia,-47.9292,-15.7801,3.42120819867535,0.32606953,-3.0951386648504293,-90.46917010338129,Over-Invested
94,Brazil,2018.0,BRA,BR,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Brasilia,-47.9292,-15.7801,4.72668932413813,0.32407528,-4.402614042518104,-93.14371520114413,Over-Invested
95,Brunei Darussalam,2015.0,BRN,BN,East Asia & Pacific,,High income,Not classified,Bandar Seri Begawan,114.946,4.9419900000000005,1.32470174845995,1.386122,0.061420239836558865,4.636533461812342,Under-Invested
96,Brunei Darussalam,2016.0,BRN,BN,East Asia & Pacific,,High income,Not classified,Bandar Seri Begawan,114.946,4.9419900000000005,-1.3205223378443898,1.146338,2.4668603238368214,-13.190564586457153,Under-Invested
97,Brunei Darussalam,2017.0,BRN,BN,East Asia & Pacific,,High income,Not classified,Bandar Seri Begawan,114.946,4.9419900000000005,3.85820831655778,0.9784903,-2.8797180235318094,-74.63873869052875,Over-Invested
98,Brunei Darussalam,2018.0,BRN,BN,East Asia & Pacific,,High income,Not classified,Bandar Seri Begawan,114.946,4.9419900000000005,3.7700589536949103,1.2333837,-2.5366752981468146,-67.28476475575278,Over-Invested
99,Bulgaria,2015.0,BGR,BG,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sofia,23.3238,42.7105,5.19781206026066,1.666229,-3.5315830506323644,-67.94364647449878,Over-Invested
100,Bulgaria,2016.0,BGR,BG,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sofia,23.3238,42.7105,2.93533453734197,1.7393715,-1.1959629991797387,-40.743669383003876,Over-Invested
101,Bulgaria,2017.0,BGR,BG,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sofia,23.3238,42.7105,4.86599556127372,1.5132352,-3.3527603499013443,-68.90183740783618,Over-Invested
102,Bulgaria,2018.0,BGR,BG,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sofia,23.3238,42.7105,3.9610365502806095,1.5301881,-2.430848466631928,-61.368998638998185,Over-Invested
103,Burkina Faso,2015.0,BFA,BF,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Ouagadougou,-1.53395,12.3605,2.22479799180476,2.4050457,0.18024775595219822,8.101758299681894,Under-Invested
104,Burkina Faso,2016.0,BFA,BF,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Ouagadougou,-1.53395,12.3605,3.5921258608054303,3.7627177,0.17059186304100526,4.749050274167033,Under-Invested
105,Burkina Faso,2017.0,BFA,BF,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Ouagadougou,-1.53395,12.3605,0.0208131811626283,1.8369262,1.816113040684906,8725.78308185718,Under-Invested
106,Burkina Faso,2018.0,BFA,BF,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Ouagadougou,-1.53395,12.3605,3.39829653590321,1.6933813,-1.7049152263939327,-50.16970144839921,Over-Invested
107,Burundi,2015.0,BDI,BI,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bujumbura,29.3639,-3.3784,1.59847145864393,1.2219216,-0.3765498954954314,-23.556873252831124,Over-Invested
108,Burundi,2016.0,BDI,BI,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bujumbura,29.3639,-3.3784,0.0018725364628449602,1.3237567,1.3218841583308563,70593.23994804922,Under-Invested
109,Burundi,2017.0,BDI,BI,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bujumbura,29.3639,-3.3784,0.00997617531815465,1.0475421,1.0375659198661715,10400.437911090119,Under-Invested
110,Burundi,2018.0,BDI,BI,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bujumbura,29.3639,-3.3784,0.0323927957918054,1.1979737,1.1655809323881263,3598.27209691789,Under-Invested
111,Cabo Verde,2015.0,CPV,CV,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Praia,-23.5087,14.9218,6.0164989704187,1.8328764,-4.183622526555785,-69.53583050749926,Over-Invested
112,Cabo Verde,2016.0,CPV,CV,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Praia,-23.5087,14.9218,7.59539063637048,3.3707545,-4.2246361560085415,-55.62105174392082,Over-Invested
113,Cabo Verde,2017.0,CPV,CV,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Praia,-23.5087,14.9218,6.31215056616511,3.1302996,-3.1818509979888407,-50.408350761536816,Over-Invested
114,Cabo Verde,2018.0,CPV,CV,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Praia,-23.5087,14.9218,5.15876575215575,1.9511788,-3.207586963016956,-62.177410588503015,Over-Invested
115,Cambodia,2015.0,KHM,KH,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Phnom Penh,104.874,11.5556,10.0986635313823,1.2138543,-8.884809218485572,-87.98004994299897,Over-Invested
116,Cambodia,2016.0,KHM,KH,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Phnom Penh,104.874,11.5556,12.281772168959401,1.3250475,-10.956724675978444,-89.21126792817535,Over-Invested
117,Cambodia,2017.0,KHM,KH,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Phnom Penh,104.874,11.5556,12.570049570340199,1.1885526,-11.381496952313466,-90.54456697743503,Over-Invested
118,Cambodia,2018.0,KHM,KH,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Phnom Penh,104.874,11.5556,12.6416736808041,1.4148874,-11.226786252520409,-88.80775232766732,Over-Invested
119,Cameroon,2015.0,CMR,CM,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Yaounde,11.5174,3.8721,2.24496264170826,1.3063099,-0.9386527032774739,-41.81150660766563,Over-Invested
120,Cameroon,2016.0,CMR,CM,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Yaounde,11.5174,3.8721,2.03481973528667,1.386781,-0.6480387580375244,-31.84747753324828,Over-Invested
121,Cameroon,2017.0,CMR,CM,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Yaounde,11.5174,3.8721,2.33086153776003,1.3587129,-0.972148626154195,-41.70769521935802,Over-Invested
122,Cameroon,2018.0,CMR,CM,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Yaounde,11.5174,3.8721,1.81445449269838,1.3341048,-0.4803497163159338,-26.4735058525264,Over-Invested
123,Canada,2015.0,CAN,CA,North America,,High income,Not classified,Ottawa,-75.6919,45.4215,3.86285086774318,0.3221162,-3.5407346715876318,-91.66117960065748,Over-Invested
124,Canada,2016.0,CAN,CA,North America,,High income,Not classified,Ottawa,-75.6919,45.4215,2.2311711892734905,0.36162347,-1.8695477232586284,-83.79221335622333,Over-Invested
125,Canada,2017.0,CAN,CA,North America,,High income,Not classified,Ottawa,-75.6919,45.4215,1.68879737448121,0.32186598,-1.366931398624429,-80.94111343845162,Over-Invested
126,Canada,2018.0,CAN,CA,North America,,High income,Not classified,Ottawa,-75.6919,45.4215,2.65074347824487,0.26822203,-2.3825214442673617,-89.88125270593495,Over-Invested
127,Cayman Islands,2015.0,CYM,KY,Latin America & Caribbean ,,High income,Not classified,George Town,-81.3857,19.3022,1846.59636559035,1013.84424,-832.7521273090999,-45.09659733045517,Over-Invested
